epoch,train_loss,val_loss,train_descriptor_loss,val_descriptor_loss,val_rmse,learning_rate,elapsed_seconds,train_alignment_loss,val_alignment_loss,val_alignment_spearman,val_alignment_kendall
159,0.316033,0.250604,0.304434,0.239848,0.489743,2.94e-04,8135.9,0.231979,0.215120,0.778118,0.590569
160,0.315208,0.248845,0.303674,0.238186,0.488043,2.94e-04,8184.7,0.230691,0.213170,0.780405,0.592936
161,0.315369,0.250358,0.303990,0.239762,0.489655,2.94e-04,8235.6,0.227590,0.211923,0.781814,0.594427
162,0.314717,0.249233,0.303287,0.238579,0.488446,2.94e-04,8284.7,0.228609,0.213072,0.780393,0.593478
163,0.314875,0.250041,0.302841,0.239499,0.489386,2.94e-04,8334.1,0.240681,0.210842,0.782270,0.595364
164,0.314778,0.248146,0.303325,0.237713,0.487558,2.93e-04,8383.1,0.229059,0.208670,0.785152,0.598113
165,0.313197,0.250670,0.302198,0.240085,0.489985,2.93e-04,8429.9,0.219983,0.211706,0.780793,0.594107
166,0.312250,0.247387,0.300738,0.236737,0.486556,2.93e-04,8474.0,0.230237,0.213009,0.780504,0.592912
167,0.310470,0.248712,0.299412,0.238267,0.488126,2.93e-04,8522.3,0.221164,0.208915,0.785172,0.598495
168,0.312141,0.247793,0.301027,0.237433,0.487271,2.93e-04,8569.3,0.222272,0.207195,0.786338,0.599481
169,0.312658,0.247628,0.301468,0.237215,0.487047,2.93e-04,8616.6,0.223790,0.208270,0.784464,0.597324
170,0.312661,0.248444,0.301265,0.238005,0.487858,2.93e-04,8664.7,0.227920,0.208783,0.784601,0.597891
171,0.312190,0.247059,0.300750,0.236716,0.486534,2.93e-04,8713.2,0.228785,0.206865,0.785563,0.598626
172,0.312751,0.246408,0.301943,0.236103,0.485904,2.93e-04,8759.0,0.216174,0.206113,0.786199,0.599518
173,0.310577,0.247971,0.299465,0.237642,0.487486,2.93e-04,8806.4,0.222240,0.206579,0.786103,0.599197
174,0.311630,0.245427,0.300440,0.235183,0.484957,2.93e-04,8858.2,0.223811,0.204880,0.788286,0.600874
175,0.311016,0.245666,0.299733,0.235422,0.485203,2.92e-04,8923.1,0.225670,0.204895,0.788127,0.601157
176,0.310939,0.244400,0.299769,0.234189,0.483931,2.92e-04,8978.1,0.223405,0.204229,0.789264,0.601638
177,0.310313,0.243648,0.298897,0.233443,0.483159,2.92e-04,9033.6,0.228314,0.204106,0.790743,0.604325
178,0.310306,0.244315,0.299224,0.234213,0.483956,2.92e-04,9089.1,0.221622,0.202032,0.791882,0.603943
179,0.310744,0.246241,0.299695,0.236163,0.485967,2.92e-04,9136.9,0.220979,0.201552,0.792901,0.606199
180,0.310865,0.245382,0.299742,0.235371,0.485150,2.92e-04,9186.0,0.222464,0.200215,0.793425,0.606580
181,0.309714,0.243710,0.298730,0.233747,0.483474,2.92e-04,9232.7,0.219690,0.199262,0.794266,0.607159
182,0.308681,0.244769,0.297963,0.234770,0.484531,2.92e-04,9281.5,0.214359,0.199976,0.794169,0.607751
183,0.308667,0.244227,0.297679,0.234260,0.484004,2.92e-04,9327.2,0.219760,0.199338,0.794285,0.607061
184,0.309061,0.245464,0.297997,0.235492,0.485275,2.91e-04,9376.5,0.221279,0.199452,0.794913,0.608417
185,0.307120,0.241540,0.296554,0.231692,0.481344,2.91e-04,9427.3,0.211333,0.196965,0.796418,0.609932
186,0.309128,0.242587,0.298441,0.232724,0.482415,2.91e-04,9475.6,0.213741,0.197265,0.795713,0.609501
187,0.308855,0.242285,0.298089,0.232444,0.482124,2.91e-04,9526.6,0.215328,0.196815,0.797101,0.610759
188,0.307527,0.240719,0.296707,0.230936,0.480558,2.91e-04,9575.0,0.216411,0.195668,0.798599,0.612312
189,0.307906,0.241779,0.297197,0.231875,0.481534,2.91e-04,9622.6,0.214184,0.198079,0.795925,0.609650
190,0.307624,0.240854,0.296976,0.231116,0.480745,2.91e-04,9670.1,0.212958,0.194771,0.799389,0.612928
191,0.306264,0.242890,0.295523,0.233063,0.482766,2.91e-04,9718.5,0.214837,0.196549,0.798535,0.611375
192,0.305782,0.240446,0.295022,0.230619,0.480228,2.91e-04,9770.8,0.215195,0.196533,0.798666,0.611745
193,0.307518,0.241094,0.297065,0.231374,0.481013,2.90e-04,9817.8,0.209062,0.194391,0.800488,0.613631
194,0.306488,0.239532,0.295818,0.229841,0.479417,2.90e-04,9867.3,0.213410,0.193812,0.800067,0.613149
195,0.305876,0.240677,0.294956,0.230899,0.480520,2.90e-04,9916.0,0.218395,0.195558,0.799497,0.612816
196,0.304729,0.240625,0.294207,0.230872,0.480491,2.90e-04,9964.6,0.210450,0.195063,0.800738,0.614284
197,0.306027,0.239133,0.295706,0.229475,0.479036,2.90e-04,10011.0,0.206418,0.193152,0.802494,0.616338
198,0.304652,0.240380,0.294304,0.230849,0.480468,2.90e-04,10059.8,0.206950,0.190614,0.805943,0.619708
199,0.305883,0.240026,0.295109,0.230528,0.480133,2.90e-04,10109.2,0.215484,0.189959,0.806784,0.620275
200,0.306125,0.238720,0.295501,0.229167,0.478714,2.90e-04,10156.6,0.212487,0.191051,0.805419,0.618252
201,0.305369,0.238760,0.294917,0.229181,0.478729,2.90e-04,10205.6,0.209053,0.191583,0.803418,0.616465
202,0.304278,0.239348,0.293656,0.229883,0.479461,2.89e-04,10255.0,0.212451,0.189299,0.807408,0.620336
203,0.305516,0.239909,0.295132,0.230521,0.480126,2.89e-04,10306.0,0.207691,0.187751,0.807929,0.621630
204,0.303724,0.236769,0.293300,0.227309,0.476769,2.89e-04,10355.1,0.208481,0.189190,0.806595,0.620410
205,0.303424,0.237655,0.292620,0.228293,0.477800,2.89e-04,10403.9,0.216091,0.187234,0.808504,0.622900
206,0.304923,0.238199,0.294253,0.228716,0.478243,2.89e-04,10453.0,0.213410,0.189657,0.806037,0.619683
207,0.303805,0.238190,0.293315,0.228744,0.478272,2.89e-04,10501.9,0.209792,0.188918,0.806502,0.620545
208,0.304414,0.235982,0.293863,0.226618,0.476044,2.89e-04,10550.4,0.211034,0.187282,0.808062,0.621815
209,0.302024,0.239273,0.291643,0.229920,0.479500,2.89e-04,10604.4,0.207616,0.187049,0.808292,0.621211
210,0.304173,0.236346,0.293623,0.226972,0.476416,2.89e-04,10654.7,0.210991,0.187480,0.807529,0.621519
211,0.303096,0.236688,0.292837,0.227330,0.476791,2.88e-04,10718.4,0.205184,0.187168,0.808186,0.622024
212,0.303655,0.236649,0.293355,0.227199,0.476654,2.88e-04,10777.0,0.205997,0.188996,0.806910,0.621421
